id,data_abertura,canal,parceiro,uf,linha,modelo,serie,lote,descricao_cliente,codigo_sintoma,prioridade_declarada,status,data_fechamento,sla_horas,custo_peca_brl,id_origem
OC-2026-000689,2026-03-27,Planilha Parceiro,Eletro Nordeste,PE,Maquina de Lavar,WMT13BW,WMT1958953,L2601B,"nao centrifuga, roupa sai encharcada",NAO_CENTRIFUGA,Baixa,FECHADA,10-04-2026 16:39,240,520.37,
OC-2026-000374,28/06/2026,Formulario,Refrig Vale Verde,MG,Ar-Condicionado,ACDUAL9K,ACDU127864,L2603A,Equipamento liga mas nao resfria. Cliente relata que ja limpou os filtros.,,Alta,aguardando_peca,,72,844.93,
OC-2026-001809,2026-08-19,Formulario,MEGATEC,BA,Geladeira,GC B247SLUV,GCB2897608,L2605B,"Aparelho nao liga. Tomada ttada com outro equipamento, energia OK.",NAO_LIGA,Alta,Em atendimento,,72,,
OC-2026-000927,2026-06-07,Planilha Parceiro,Eletro Servicos Andrade,SP,Geladeira,GC-L257,GCL2824723,,"barulho estranho no compressor, parece que trava",RUIDO_COMPRESSOR,Baixa,Aberta,,240,,
OC-2026-001232,2026-07-12,Planilha Parceiro,ELETRO SERV ANDRADE,SP,Maquina de Lavar,WMT13BW,WMT1623338,,Display apresenta codigo de erro intermitente. Cliente ja tentou reset.,ERRO_DISPLAY,,Fechado,06-08-2026 19:10,240,382.88,
OC-2026-001354,06/04/2026,planilha_parceiro,REFRIGERACAO VALE VERDE LTDA,MG,Monitor,27-UP550,27UP762529,L2602B,Cintilacao visivel principalmente em fundo claro.,FLICKER,Alta,EM ATENDIMENTO,,72,,
OC-2026-000004,20/08/2026,E-mail,NORTE ELETRO SERVICOS LTDA,CE,TV,NANO-75SQA,NANO416079,L2606C,erro no painel,,Critica,FECHADA,2026-09-09,72,842.5,
OC-2026-000099,2026-08-02 16:54,Formulario,Oficina Digital Campinas,SP,Maquina de Lavar,wd-11wv,WD11800589,L2605B,aparece codigo de erro no visor e para tudo,,,fechada,29-08-2026 18:18,72,603.46,
OC-2026-000365,2026-07-07,Planilha Parceiro,ELETRO NORDESTE ASSIST LTDA,PE,Maquina de Lavar,WD11WV,WD11990397,,para na centrifugacao e apita,NAO_CENTRIFUGA,Baixa,Fechada,26-07-2026 14:47,240,265.16,
OC-2026-001736,2026-03-11,email,Prisma Assistencia Tecnica,PR,Ar-Condicionado,AC-DUAL9K,ACDU319299,,nao liga de jeito nenhum,,Alta,Em atendimento,,72,,
OC-2026-001309,05/04/2026,E-mail,Central Reparos Bandeirantes,SP,Geladeira,GT39SSP,GT39770754,L2603B,vazando agua embaixo do aparelho,,Baixa,Fechada,2026-04-25,240,609.39,
OC-2026-002036,2026-04-06,E-mail,Refrigeracao Vale Verde,MG,Maquina de Lavar,WD-11WV,WD11463168,,erro no painel,ERRO_DISPLAY,Alta,Aberta,,72,,
OC-2026-000588,2026-06-19,Planilha Parceiro,Sul Service,RS,Ar-Condicionado,AC-S12TQ,ACS1152599,L2605C,"Baixa pressao no sistema, indicio de vazamento na linha.",VAZAMENTO_GAS,Baixa,Fechado,28-06-2026 15:46,240,359.8,
OC-2026-001628,2026-05-06 13:11,Formulario,Norte Eletro Servicos,CE,Maquina de Lavar,WM-T13BW,WMT1895107,L2602B,"morreu do nada, nao acende nem a luzinha",,Alta,Fechado,2026-05-01,72,660.06,
OC-2026-001905,2026-07-08,email,Eletro Nordeste,PE,Maquina de Lavar,WM-F60BW,WMF6345853,,"instalacao feita as pressas, mangueira nao encaixou e vaza toda vez que enche",VAZAMENTO_AGUA,Media,fechada,19/07/2026,120,46.75,
OC-2026-001290,2026-06-14,Planilha Parceiro,Atlas Manutencao,GO,Maquina de Lavar,WM-T13BW,WMT1156514,,para na centrifugacao e apita,NAO_CENTRIFUGA,Alta,FECHADA,24/06/2026,72,386.06,
OC-2026-000671,2026-04-08,planilha_parceiro,ELETRO NORDESTE ASSIST LTDA,PE,Geladeira,GT-39SSP,GT39536924,L2602A,"porta nao fecha direito, fica uma fresta",,Baixa,FECHADA,09/04/2026,240,217.69,
OC-2026-001374,15/07/2026,E-mail,SUL SERVICE ELETRO,RS,Geladeira,GCB247SLUV,GCB2251626,L2604A,"morreu do nada, nao acende nem a luzinha",NAO_LIGA,,FECHADA,2026-08-03,240,292.24,
OC-2026-001925,2026-07-08,Formulario,Eletro Nordeste Assistencia,PE,Maquina de Lavar,WM F60BW,WMF6994095,,vazando agua embaixo desde o dia da instalacao,VAZAMENTO_AGUA,,EM ATENDIMENTO,,120,100.09,
OC-2026-001079,28/05/2026,formulario,MegaTec Reparos Ltda,BA,Maquina de Lavar,wd-11wv,WD11685223,L2604B,"nao centrifuga, roupa sai encharcada",NAO_CENTRIFUGA,Baixa,aberta,,240,,
OC-2026-000482,2026-04-01,Planilha Parceiro,Central Reparos Band.,SP,TV,oled55c4,OLED148747,L2601A,Controle remoto sem resposta. Aparelho responde aos botoes fisicos.,CONTROLE_NAO_RESPONDE,Media,Em atendimento,,120,,
OC-2026-001903,2026-07-23 19:33,formulario,ELETRO NORDESTE ASSIST LTDA,PE,Maquina de Lavar,WM F60BW,WMF6216974,,Vazamento na conexao da mangueira de entrada. Mangueira mal fixada na instalacao.,VAZAMENTO_AGUA,Media,fechada,18/08/2026,120,77.75,
OC-2026-001489,2026-08-24 19:21,E-mail,MegaTec Reparos,BA,Geladeira,GT39SSP,GT39963729,,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",,Media,em_atendimento,,120,,
OC-2026-001953,2026-03-24,Planilha Parceiro,ELETRO NORDESTE ASSIST LTDA,PE,TV,UQ7550PSF,UQ75161931,,erro no painel,,Alta,Reaberta,,72,779.14,OC-2026-001211
OC-2026-002047,26/07/2026,planilha_parceiro,Central Reparos Bandeirantes,SP,Maquina de Lavar,WM-T13BW,WMT1330959,L2604B,aparece codigo de erro no visor e para tudo,ERRO_DISPLAY,Media,Aberta,,120,,
OC-2026-000551,2026-06-21 09:37,E-mail,PRISMA AT,PR,Geladeira,GT39SSP,GT39553412,L2603B,"porta nao fecha direito, fica uma fresta",PORTA_DESALINHADA,Alta,Aguardando peca,,72,141.13,
OC-2026-001275,2026-08-05,Formulario,Assistencia Tecnica Silva Ltda,SP,TV,NANO-75SQA,NANO571545,L2605B,nao liga de jeito nenhum,NAO_LIGA,Alta,ABERTA,,72,,
OC-2026-001756,2026-03-15,E-mail,Sul Service,RS,Geladeira,GT-39SSP,GT39482414,L2601A,"porta nao fecha direito, fica uma fresta",PORTA_DESALINHADA,Baixa,Fechada,25/03/2026,240,166.34,
OC-2026-001016,2026-05-18,planilha_parceiro,SUL SERVICE ELETRO,RS,Ar-Condicionado,AC-S12TQ,ACS1847336,L2604C,"Baixa pressao no sistema, indicio de vazamento na linha.",,Media,Fechado,2026-06-11,120,799.35,
OC-2026-001442,2026-08-16,E-mail,CENTRAL REPAROS BANDEIRANTES SA,SP,Monitor,27-UP550,27UP301171,L2606A,Mensagem de ausencia de sinal. Cliente testou dois cabos diferentes.,,Alta,Fechado,2026-08-31,72,567.6,
OC-2026-001256,2026-06-14,Formulario,Eletro Nordeste,PE,Geladeira,GCL257FLQ,GCL2545415,L2603A,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",,Baixa,FECHADA,16/06/2026,240,960.01,
OC-2026-000466,28/03/2026,Planilha Parceiro,Eletro Servicos Andrade ME,SP,Geladeira,GC-L257,GCL2140136,L2602A,Gabinete quente. Cliente ja verificou vedacao da porta.,TEMP_ALTA_GABINETE,Media,Aberta,,120,,
OC-2026-000437,2026-08-05,E-mail,Norte Eletro Servicos,CE,TV,OLED55C4,OLED920786,L2606B,,,Baixa,Fechada,2026-08-10,240,885.13,
OC-2026-000331,2026-05-30,email,ATLAS MANUT EQUIP,GO,Geladeira,GCL257FLQ,GCL2670786,L2601C,Cliente relata poca de agua no chao apos o uso.,VAZAMENTO_AGUA,Media,aberta,,120,,
OC-2026-000544,2026-05-11 11:15,E-mail,SUL SERVICE ELETRO,RS,Maquina de Lavar,WMT13BW,WMT1775552,L2602B,agua fica parada no tambor,NAO_DRENA,Alta,fechada,20/05/2026,72,241.78,
OC-2026-000856,2026-03-22,formulario,Prisma Assist Tecnica,PR,TV,OLED55C4,OLED888723,L2601A,Controle remoto sem resposta. Aparelho responde aos botoes fisicos.,CONTROLE_NAO_RESPONDE,Alta,Fechado,2026-04-19,72,144.21,
OC-2026-000609,2026-07-22,Formulario,ATLAS MANUT EQUIP,GO,TV,UQ-7550PSF,UQ75898223,,tela preta mas o som funciona,TELA_ESCURA,Alta,aberta,,72,,
OC-2026-001287,2026-06-24,Formulario,NORTE ELETRO SERVICOS LTDA,CE,Maquina de Lavar,WD-11WV,WD11510625,L2604A,Maquina completa o ciclo mas nao centrifuga.,,Critica,aguardando_peca,,72,264.14,
OC-2026-001193,2026-08-31,Planilha Parceiro,NORTE ELETRO SERVICOS LTDA,CE,Maquina de Lavar,WM-T13BW,WMT1260758,L2607C,erro no painel,ERRO_DISPLAY,Baixa,FECHADA,09/09/2026,240,460.92,
OC-2026-001928,11/07/2026,E-mail,Norte Eletro,CE,Maquina de Lavar,WM-F60BW,WMF6395653,,Vazamento na conexao da mangueira de entrada. Mangueira mal fixada na instalacao.,VAZAMENTO_AGUA,Media,fechada,2026-08-03 11:17,120,76.96,
OC-2026-002049,2026-08-17 08:33,E-mail,A.T. SILVA LTDA,SP,TV,UQ-7550PSF,UQ75936475,,tela apagada,,Media,aberta,,120,1325.39,
OC-2026-000313,2026-08-08,formulario,ELETRO NORDESTE ASSIST LTDA,PE,Geladeira,GC-L257,GCL2506815,L2604A,Gabinete quente. Cliente ja verificou vedacao da porta.,TEMP_ALTA_GABINETE,Media,fechada,2026-08-13,120,926.27,
OC-2026-001404,2026-08-04,Formulario,Prisma Assistencia Tecnica,PR,Ar-Condicionado,ACS12TQ,ACS1924097,,"controle nao funciona mais, ja troquei a pilha",CONTROLE_NAO_RESPONDE,Critica,ABERTA,,72,,
OC-2026-000113,2026-05-11,Formulario,REFRIGERACAO VALE VERDE LTDA,MG,TV,NANO-75SQA,NANO613414,L2604B,tela apagada,,Baixa,aguardando_peca,,240,746.39,
OC-2026-000697,18-04-2026 18:12,planilha_parceiro,assistencia tecnica silva,SP,Geladeira,GC-L257FLQ,GCL2280460,,,VAZAMENTO_AGUA,Media,Em atendimento,,120,,
OC-2026-001122,2026-05-07,Formulario,Eletro Nordeste,PE,Geladeira,GT-39SSP,GT39960738,L2603C,"morreu do nada, nao acende nem a luzinha",NAO_LIGA,Media,Fechada,17/05/2026,120,979.27,
OC-2026-001981,2026-04-01,formulario,CENTRAL REPAROS BANDEIRANTES SA,SP,Ar-Condicionado,ACD18MQ,ACD1570471,L2612C,nao liga de jeito nenhum,,Media,Reaberta,,120,252.51,OC-2026-000519
OC-2026-001131,2026-03-31 19:51,E-mail,REFRIGERACAO VALE VERDE LTDA,MG,TV,OLED-55C4,OLED602260,L2602A,tela preta mas o som funciona,,Media,Fechada,2026-04-08 15:23,120,625.01,
OC-2026-001677,,Planilha Parceiro,Tecnoar Servicos,RJ,Maquina de Lavar,WD-11WV,WD11103806,,Maquina completa o ciclo mas nao centrifuga.,NAO_CENTRIFUGA,Media,Fechada,2026-03-12 14:05,120,510.41,
OC-2026-001556,10/06/2026,Formulario,Eletro Nordeste,PE,Ar-Condicionado,AC-S12TQ,ACS1195323,L2602C,condensadora fazendo muito barulho,,,AGUARDANDO PECA,,120,384.6,
OC-2026-000778,10/03/2026,formulario,ELETRO NORDESTE ASSIST LTDA,PE,TV,oled55c4,OLED470627,,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",NAO_LIGA,Alta,Fechado,2026-03-23,72,519.49,
OC-2026-001538,2026-06-04,formulario,ELETRO NORDESTE ASSIST LTDA,PE,TV,NANO75SQA,NANO170496,,risco na tela do lado esquerdo,,Alta,FECHADA,2026-06-16 19:22,72,340.57,
OC-2026-000429,21-08-2026 08:53,E-mail,SUL SERVICE ELETRO,RS,Geladeira,GC B247SLUV,GCB2997580,L2607C,"porta nao fecha direito, fica uma fresta",PORTA_DESALINHADA,Baixa,ABERTA,,240,,
OC-2026-000887,20-06-2026 09:21,E-mail,OFICINA DIGITAL CAMPINAS ME,SP,Maquina de Lavar,WD-11WV,WD11133667,L2603C,para na centrifugacao e apita,NAO_CENTRIFUGA,Media,Fechado,30/06/2026,120,395.75,
OC-2026-000537,2026-07-15,Planilha Parceiro,Refrigeracao Vale Verde,MG,Maquina de Lavar,WM-T13BW,WMT1977275,L2604A,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",,Media,aguardando_peca,,120,611.28,
OC-2026-001195,30/05/2026,Planilha Parceiro,MegaTec Reparos,BA,Geladeira,GT-39SSP,GT39653193,L2604C,Cliente relata poca de agua no chao apos o uso.,VAZAMENTO_AGUA,Alta,Em atendimento,,72,,
OC-2026-001662,17/05/2026,Formulario,A.T. SILVA LTDA,SP,TV,NANO-75SQA,NANO254871,L2603C,"controle nao funciona mais, ja troquei a pilha",,Baixa,fechada,31/05/2026,240,213.76,
OC-2026-001480,2026-03-31,E-mail,Prisma Assistencia Tecnica,PR,Geladeira,GT39SSP,GT39352527,L2602A,,NAO_LIGA,Media,FECHADA,2026-04-12,120,755.88,
OC-2026-001639,2026-06-14 13:38,E-mail,ELETRO SERV ANDRADE,SP,Maquina de Lavar,WM F60BW,WMF6908702,L2604B,para na centrifugacao e apita,NAO_CENTRIFUGA,Media,Fechado,2026-06-29,120,239.71,
